59,63
50,91
77,60
74,99
60,64
59,64
58,86
53,79
80,70
75,82
43,69
90,53
89,77
56,77
62,100
64,48
76,85
84,54
54,73
85,73
62,69
73,99
97,99
75,41
64,100
78,61
64,52
66,83
53,53
73,81
55,81
94,96
94,55
83,80
83,48
81,46
48,81
58,84
68,57
42,75
84,100
85,74
86,70
100,57
40,61
63,73
62,41
58,96
46,68
85,94
44,43
80,84
71,73
60,100
69,65
42,93
90,77
96,46
48,78
61,48
69,82
83,57
44,82
56,41
59,87
79,98
42,47
49,50
84,79
86,75
73,97
90,67
91,78
46,86
67,71
92,100
68,61
74,85
60,45
87,85
87,100
100,58
71,99
58,48
58,92
49,73
89,61
46,47
73,96
61,49
78,63
50,52
90,87
44,79
71,64
54,69
88,94
60,40
61,91
88,92
65,57
45,61
65,99
68,59
81,80
99,79
72,66
45,91
75,67
55,41
87,91
41,73
47,87
64,66
84,73
56,53
64,96
97,73
48,91
62,62
74,74
48,52
89,97
74,72
86,75
66,77
88,81
94,59
76,81
58,61
50,96
90,95
50,41
53,64
46,83
59,40
41,99
76,53
76,78
72,75
68,59
41,84
45,70
89,60
40,64
69,80
59,78
62,82
47,69
44,70
59,66
86,76
48,85
93,91
55,84
87,58
54,48
40,52
53,92
64,86
86,40
47,65
41,79
53,100
96,67
70,43
50,53
89,56
44,77
93,86
71,82
64,58
42,99
86,92
100,99
78,87
55,87
79,96
74,96
64,56
78,51
62,82
90,81
71,96
93,48
74,88
92,83
79,45
89,53
78,94
83,40
78,91
45,80
84,61
48,77
62,44
71,40
85,82
53,71
81,48
98,52
58,98
77,80
68,52
70,64
45,42
85,52
74,72
76,83
64,93
75,60
51,79
94,62
85,60
44,83
43,54
49,57
86,82
81,41
63,88
86,40
74,61
77,87
48,85
52,67
90,40
84,95
48,85
84,60
90,56
98,96
92,40
53,61
79,81
86,49
77,85
81,87
87,59
62,56
53,97
83,52
72,67
70,61
78,80
85,54
70,42
91,63
94,70
63,66
91,79
52,45
50,53
59,49
50,50
54,92
52,43
70,40
45,84
60,82
54,100
93,73
51,67
92,95
62,79
88,43
97,98
73,42
92,56
45,91
62,79
70,87
83,57
52,89
54,52
84,52
77,40
95,70
86,64
81,98
71,93
67,88
74,88
75,58
47,91
80,43
70,54
99,97
62,69
71,71
98,73
81,80
88,54
57,61
68,58
70,96
69,42
44,87
95,54
60,53
91,44
89,52
44,69
68,91
73,44
75,76
71,99
86,92
68,66
49,98
87,52
49,83
65,63
59,58
49,45
94,58
60,43
71,74
82,98
77,73
75,64
56,66
63,77
65,65
75,52
63,58
57,100
71,91
46,69
99,40
63,60
48,42
79,83
100,63
98,49
75,88
43,64
76,65
40,42
68,56
75,75
65,98
69,79
85,57
99,76
78,83
93,41
67,46
85,50
96,61
42,62
68,52
100,58
100,87
71,62
60,82
96,60
69,60
92,95
64,88
64,48
73,64
67,45
58,75
70,95
85,96
80,55
51,98
63,87
67,53
100,66
61,78
82,55
67,60
81,56
100,84
91,97
59,42
68,60
78,61
77,52
63,82
69,62
49,57
78,96
95,45
85,85
67,51
76,93
77,90
59,70
66,80
87,48
89,45
97,45
78,60
78,88
92,44
49,42
90,71
80,96
65,55
91,48
41,56
85,96
45,74
99,75
62,79
75,56
100,91
70,67
55,82
44,72
47,96
59,96
86,47
76,82
58,66
70,86
100,54
49,54
59,71
94,74
58,68
65,78
52,90
55,87
65,85
92,92
73,60
68,69
100,85
62,60
66,78
54,87
90,87
99,53
90,86
82,42
71,79
73,43
70,77
40,61
94,49
88,82
74,70
66,88
47,76
87,43
93,44
40,45
100,94
90,53
52,68
65,72
40,76
90,59
49,61
96,67
76,65
87,48
68,73
45,79
80,90
50,75
95,87
44,66
66,91
58,57
64,45
57,77
81,46
46,48
93,64
89,88
65,72
55,58
92,61
92,55
83,64
57,40
79,54
49,96
70,67
59,93
90,59
75,51
55,70
68,89
49,57
40,50
76,91
40,90
46,97
58,51
51,52
53,63
48,64
50,73
41,67
75,79
88,82
76,53
92,81
63,41
59,67
94,66
90,98
60,45
77,90
87,59
52,52
70,90
63,72
52,56
81,57
59,64
77,96
50,47
56,95
97,90
44,72
84,83
86,45
79,100
77,98
41,41
65,99
73,43
100,59
54,53
94,68
95,48
77,44
56,41
98,81
99,62
99,91
61,55
76,55
46,83
42,56
76,85
67,73
90,52
67,92
98,70
43,73
50,61
91,72
89,42
66,42
48,50
97,62
88,93
86,70
52,43
46,96
69,81
61,42
71,47
48,74
51,61
54,99
77,58
77,92
96,60
57,40
59,77
82,58
68,51
61,45
81,100
73,93
47,82
52,93
89,41
56,98
44,84
77,84
54,65
76,63
89,44
58,89
89,79
76,43
99,75
61,59
41,66
64,61
56,63
47,67
94,93
93,95
86,59
100,41
53,53
49,94
65,53
88,98
87,90
82,47
94,45
73,51
41,42
85,44
100,59
68,60
99,67
51,50
93,89
57,85
92,56
68,45
45,41
61,94
56,50
64,88
83,79
78,92
81,44
68,89
41,96
84,83
51,51
67,98
91,81
93,77
67,100
79,79
42,100
53,90
47,84
66,89
72,78
59,75
94,74
60,71
94,47
67,84
72,98
90,79
88,50
57,95
49,86
41,94
